Rank,Team_Country,Gold,Silver,Bronze,Total,Rank_by_Total
1,United States of America,39,41,33,113,1
2,People's Republic of China,38,32,18,88,2
3,Japan,27,14,17,58,5
4,Great Britain,22,21,22,65,4
5,ROC,20,28,23,71,3
6,Australia,17,7,22,46,6
7,Netherlands,10,12,14,36,9
8,France,10,12,11,33,10
9,Germany,10,11,16,37,8
10,Italy,10,10,20,40,7
11,Canada,7,6,11,24,11
12,Brazil,7,6,8,21,12
13,New Zealand,7,6,7,20,13
14,Cuba,7,3,5,15,18
15,Hungary,6,7,7,20,13
16,Republic of Korea,6,4,10,20,13
17,Poland,4,5,5,14,19
18,Czech Republic,4,4,3,11,23
19,Kenya,4,4,2,10,25
20,Norway,4,2,2,8,29
21,Jamaica,4,1,4,9,27
22,Spain,3,8,6,17,17
23,Sweden,3,6,0,9,27
24,Switzerland,3,4,6,13,20
25,Denmark,3,4,4,11,23
26,Croatia,3,3,2,8,29
27,Islamic Republic of Iran,3,2,2,7,32
28,Serbia,3,1,5,9,27
29,Belgium,3,1,3,7,32
30,Bulgaria,3,1,2,6,35
